"ID_Partido","Fecha","Equipo_Local","Goles_Local","Goles_Visitante","Equipo_Visitante","Jornada","Fase_Torneo","Estadio","Arbitro","Pais_Arbitro","Entrenador_Local","Pais_Entrenador_Local","Entrenador_Visitante","Pais_Entrenador_Visitante","Asistencias_Disparos_Totales","Disparos_Totales","xG_Total","Asistencias_Gol_Totales","Goles_Totales","Autogoles"
3943077,"15/07/2024","Argentina",1,0,"Colombia",6,"Final","Hard Rock Stadium","Raphael Claus","Brazil","Lionel Sebastián Scaloni","Argentina","Néstor Gabriel Lorenzo","Argentina",25,30,2.070879885,1,1,0
3943076,"14/07/2024","Canada",2,2,"Uruguay",6,"3rd Place Final","Bank of America Stadium","Alexis Herrera","Venezuela (Bolivarian Republic)","Jesse Marsch","United States of America","Marcelo Alberto Bielsa Caldera","Argentina",16,35,10.85573639,1,11,0
3942852,"11/07/2024","Uruguay",0,1,"Colombia",5,"Semi-finals","Bank of America Stadium","César Arturo Ramos Palazuelos","Mexico","Marcelo Alberto Bielsa Caldera","Argentina","Néstor Gabriel Lorenzo","Argentina",20,22,1.926524221,1,1,0
3942785,"10/07/2024","Argentina",2,0,"Canada",5,"Semi-finals","MetLife Stadium","Piero Maza Gomez","Chile","Lionel Sebastián Scaloni","Argentina","Jesse Marsch","United States of America",15,20,2.433422207,1,2,0
3942416,"07/07/2024","Colombia",5,0,"Panama",4,"Quarter-finals","State Farm Stadium","Maurizio Mariani","Italy","Néstor Gabriel Lorenzo","Argentina","Thomas Christiansen Tarín","Spain",9,21,2.790356088,2,5,0
3942415,"07/07/2024","Uruguay",0,0,"Brazil",4,"Quarter-finals","Allegiant Stadium","Darío Herrera","Argentina","Marcelo Alberto Bielsa Caldera","Argentina","Dorival Silvestre Júnior","Brazil",10,28,8.357211055,0,6,0
3939986,"30/06/2024","Argentina",2,0,"Peru",3,"Group Stage","Hard Rock Stadium","César Arturo Ramos Palazuelos","Mexico","Lionel Sebastián Scaloni","Argentina","Jorge Daniel Fossati Lurachi","Uruguay",10,19,2.272399167,1,2,0
3939973,"24/06/2024","Uruguay",3,1,"Panama",1,"Group Stage","Hard Rock Stadium","Piero Maza Gomez","Chile","Marcelo Alberto Bielsa Caldera","Argentina","Thomas Christiansen Tarín","Spain",19,30,1.902328867,3,4,0
3942229,"06/07/2024","Venezuela",1,1,"Canada",4,"Quarter-finals","AT&T Stadium","Wilton Pereira Sampaio","Brazil","Fernando Ariel Batista","Argentina","Jesse Marsch","United States of America",21,43,11.6766525,1,9,0
3942228,"05/07/2024","Argentina",1,1,"Ecuador",4,"Quarter-finals","NRG Stadium","Andrés Matonte","Uruguay","Lionel Sebastián Scaloni","Argentina","Félix Sánchez Bas","Spain",10,26,9.299265486,2,8,0
3939985,"30/06/2024","Canada",0,0,"Chile",3,"Group Stage","Inter&Co Stadium","Wilmar Alexander Roldán Pérez","Colombia","Jesse Marsch","United States of America","Ricardo Alberto Gareca Nardi","Argentina",12,17,1.153503149,0,0,0
3939984,"29/06/2024","Colombia",3,0,"Costa Rica",2,"Group Stage","State Farm Stadium","Gustavo Tejera","Uruguay","Néstor Gabriel Lorenzo","Argentina","Gustavo Julio Alfaro","Argentina",14,23,3.067612668,2,3,0
3939981,"28/06/2024","Panama",2,1,"United States",2,"Group Stage","Mercedes-Benz Stadium","Ivan Arcides Barton Cisneros","El Salvador","Thomas Christiansen Tarín","Spain","Gregg Berhalter","United States of America",12,19,1.645061132,2,3,0
3939992,"03/07/2024","Costa Rica",2,1,"Paraguay",3,"Group Stage","Q2 Stadium","Yael Falcón Pérez","Argentina","Gustavo Julio Alfaro","Argentina","Daniel Oscar Garnero","Argentina",11,19,1.712117254,3,3,0
3939991,"03/07/2024","Brazil",1,1,"Colombia",3,"Group Stage","Levi''s Stadium","Jesús Valenzuela Sáez","Venezuela (Bolivarian Republic)","Dorival Silvestre Júnior","Brazil","Néstor Gabriel Lorenzo","Argentina",9,20,1.808820637,0,2,0
3939990,"02/07/2024","United States",0,1,"Uruguay",3,"Group Stage","Arrowhead Stadium","Kevin Ortega","Peru","Gregg Berhalter","United States of America","Marcelo Alberto Bielsa Caldera","Argentina",14,20,1.742518089,0,1,0
3939989,"02/07/2024","Bolivia",1,3,"Panama",3,"Group Stage","Orlando City Stadium","Edina Alves Batista","Brazil","Antônio Carlos Zago","Brazil","Thomas Christiansen Tarín","Spain",12,20,2.128424306,3,4,0
3939988,"01/07/2024","Mexico",0,0,"Ecuador",3,"Group Stage","State Farm Stadium","Mario Alberto Escobar Toca","Guatemala","Jaime Arturo Lozano Espín","Mexico","Félix Sánchez Bas","Spain",16,29,1.243475846,0,0,0
3939987,"01/07/2024","Jamaica",0,3,"Venezuela",3,"Group Stage","Q2 Stadium","Maurizio Mariani","Italy","Heimir Hallgrímsson","Iceland","Fernando Ariel Batista","Argentina",17,25,2.381994829,3,3,0
3939983,"29/06/2024","Paraguay",1,4,"Brazil",2,"Group Stage","Allegiant Stadium","Piero Maza Gomez","Chile","Daniel Oscar Garnero","Argentina","Dorival Silvestre Júnior","Brazil",14,32,4.439365791,0,5,0
3939982,"28/06/2024","Uruguay",5,0,"Bolivia",2,"Group Stage","MetLife Stadium","Juan Gabriel Benítez","Paraguay","Marcelo Alberto Bielsa Caldera","Argentina","Antônio Carlos Zago","Brazil",13,22,2.371724678,5,5,0
3939980,"27/06/2024","Ecuador",3,1,"Jamaica",2,"Group Stage","Allegiant Stadium","Cristián Garay","Chile","Félix Sánchez Bas","Spain","Heimir Hallgrímsson","Iceland",18,30,3.266341423,0,3,1
3939979,"27/06/2024","Venezuela",1,0,"Mexico",2,"Group Stage","SoFi Stadium","Raphael Claus","Brazil","Fernando Ariel Batista","Argentina","Jaime Arturo Lozano Espín","Mexico",18,28,3.522963408,0,1,0
3939978,"26/06/2024","Peru",0,1,"Canada",2,"Group Stage","Children''s Mercy Park","Mario Alberto Escobar Toca","Guatemala","Jorge Daniel Fossati Lurachi","Uruguay","Jesse Marsch","United States of America",9,14,1.485487572,1,1,0
3939977,"26/06/2024","Chile",0,1,"Argentina",2,"Group Stage","MetLife Stadium","Andrés Matonte","Uruguay","Ricardo Alberto Gareca Nardi","Argentina","Lionel Sebastián Scaloni","Argentina",20,25,2.915048547,0,1,0
3939976,"25/06/2024","Brazil",0,0,"Costa Rica",1,"Group Stage","SoFi Stadium","César Arturo Ramos Palazuelos","Mexico","Dorival Silvestre Júnior","Brazil","Gustavo Julio Alfaro","Argentina",14,22,1.657922703,0,0,0
3939975,"25/06/2024","Colombia",2,1,"Paraguay",1,"Group Stage","NRG Stadium","Darío Herrera","Argentina","Néstor Gabriel Lorenzo","Argentina","Daniel Oscar Garnero","Argentina",13,22,1.449517435,3,3,0
3939974,"24/06/2024","United States",2,0,"Bolivia",1,"Group Stage","AT&T Stadium","Maurizio Mariani","Italy","Gregg Berhalter","United States of America","Antônio Carlos Zago","Brazil",18,26,2.55437459,2,2,0
3939972,"23/06/2024","Ecuador",1,2,"Venezuela",1,"Group Stage","Levi''s Stadium","Wilmar Alexander Roldán Pérez","Colombia","Félix Sánchez Bas","Spain","Fernando Ariel Batista","Argentina",7,23,2.320610106,1,3,0
3939971,"23/06/2024","Mexico",1,0,"Jamaica",1,"Group Stage","NRG Stadium","Ismail Elfath","United States of America","Jaime Arturo Lozano Espín","Mexico","Heimir Hallgrímsson","Iceland",21,33,1.642239601,1,1,0
3939970,"22/06/2024","Peru",0,0,"Chile",1,"Group Stage","AT&T Stadium","Wilton Pereira Sampaio","Brazil","Jorge Daniel Fossati Lurachi","Uruguay","Ricardo Alberto Gareca Nardi","Argentina",13,18,1.702039096,0,0,0
3939969,"21/06/2024","Argentina",2,0,"Canada",1,"Group Stage","Mercedes-Benz Stadium","Jesús Valenzuela Sáez","Venezuela (Bolivarian Republic)","Lionel Sebastián Scaloni","Argentina","Jesse Marsch","United States of America",19,29,4.515590786,2,2,0
